actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
0.3351020872592926,50,10000,0.9658233201503754,200,-5.1021744539831255,50.0,-6.832664,3796,10000,1,10000
0.22304210159927607,200,10400,0.7172511118650436,202,-188.62605134105544,200.0,-188.626051,464,10400,2,10400
0.17528223570436238,200,10800,0.7418381169438362,204,-39.48916740392662,200.0,-39.489167,379,10800,3,10800
0.1282926263473928,200,11200,0.8397506743669509,206,-34.099096907684725,200.0,-34.099097,321,11200,4,11200
0.13524803662672638,200,11600,0.8642671343684196,208,-53.62222765447853,200.0,-53.622228,281,11600,5,11600
-0.16561910904943944,200,12000,0.8732614994049073,210,-32.377482760102964,200.0,-32.377483,253,12000,6,12000
-0.6213476324081421,200,12400,0.8813269087672233,212,-51.02325552943682,200.0,-51.023256,231,12400,7,12400
-1.0596327596902848,200,12800,0.8399111646413803,214,-85.74307392665905,200.0,-85.743074,213,12800,8,12800
-1.222856092453003,200,13200,0.8479739215970039,216,-8.140152537038768,200.0,-8.140153,198,13200,9,13200
-1.3084092354774475,200,13600,0.8912831577658653,218,-36.42084520689093,200.0,-36.420845,186,13600,10,13600
-1.4245146358013152,200,14000,0.9368153294920921,220,-16.067800464335896,200.0,-16.0678,176,14000,11,14000
-1.595605034828186,200,14400,1.0218802070617676,222,6.129610506218642,200.0,6.129611,168,14400,12,14400
-1.9187021768093109,200,14800,1.1755307772755623,224,9.857069812615485,200.0,9.85707,160,14800,13,14800
-2.1718327581882475,200,15200,1.2163200613856315,226,-24.314833064515867,200.0,-24.314833,154,15200,14,15200
-2.460804660320282,200,15600,1.3579612267017365,228,-17.45858978018179,200.0,-17.45859,149,15600,15,15600
-2.8218791818618776,200,16000,1.4756400787830353,230,84.03485759936552,200.0,84.034858,144,16000,16,16000
-3.070002295970917,200,16400,1.5787649059295654,232,-18.803732944675627,200.0,-18.803733,139,16400,17,16400
-3.422237045764923,200,16800,1.7215971171855926,234,-15.430625163334625,200.0,-15.430625,136,16800,18,16800
-3.8119696283340456,200,17200,1.7723268723487855,236,-13.013138742969181,200.0,-13.013139,132,17200,19,17200
-4.087845544815064,200,17600,1.9431908577680588,238,15.9405845519877,200.0,15.940585,129,17600,20,17600
-4.56381945848465,200,18000,2.267772259116173,240,89.78965612050656,200.0,89.789656,126,18000,21,18000
-4.979160370826722,200,18400,2.2531458741426467,242,-12.803862103732333,200.0,-12.803862,123,18400,22,18400
-5.520527558326721,200,18800,2.3103926771879197,244,102.83956777348747,200.0,102.839568,120,18800,23,18800
-5.990310163497925,200,19200,2.3427411019802094,246,-1.0129705808352094,200.0,-1.012971,118,19200,24,19200
-6.346434512138367,200,19600,2.4796301287412645,248,169.38548236019267,200.0,169.385482,116,19600,25,19600
-6.771593728065491,200,20000,2.498684964776039,250,168.06827885215094,200.0,168.068279,114,20000,26,20000
