actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
0.2852218395471573,50,10000,0.9637905490398407,200,4.237293808907803,50.0,6.013166,3635,10000,1,10000
0.15089206259697677,200,10400,0.6818103149533272,202,42.931711994777714,200.0,42.931712,468,10400,2,10400
0.03376648921053857,200,10800,0.7038613730669021,204,15.122532096706667,200.0,15.122532,381,10800,3,10800
-0.12791860363446175,200,11200,0.7786690294742584,206,-133.9314248835178,200.0,-133.931425,324,11200,4,11200
-0.4985863319039345,200,11600,0.8965547701716423,208,-33.238057138700476,200.0,-33.238057,286,11600,5,11600
-0.8816428804397582,200,12000,1.0361975938081742,210,-4.395323761832284,200.0,-4.395324,256,12000,6,12000
-1.27352017223835,200,12400,1.1378690955042838,212,29.042697727037247,200.0,29.042698,233,12400,7,12400
-1.547227394580841,200,12800,1.1450214663147926,214,-25.702128413179416,200.0,-25.702128,215,12800,8,12800
-1.7554589247703551,200,13200,1.180674238204956,216,35.282064872875786,200.0,35.282065,200,13200,9,13200
-2.116487159729004,200,13600,1.2762105074524879,218,77.66384689733309,200.0,77.663847,188,13600,10,13600
-2.5020400893688204,200,14000,1.3671690690517426,220,-20.89748942132952,200.0,-20.897489,178,14000,11,14000
-2.996000864505768,200,14400,1.456948649287224,222,55.21749112940714,200.0,55.217491,169,14400,12,14400
-3.5475401520729064,200,14800,1.5648864310979844,224,85.90762617004148,200.0,85.907626,162,14800,13,14800
-3.9968277645111083,200,15200,1.7240576273202897,226,33.2476957752337,200.0,33.247696,155,15200,14,15200
-4.460226559638977,200,15600,1.8327069336175918,228,-23.013889280618994,200.0,-23.013889,150,15600,15,15600
-4.977590708732605,200,16000,2.008421161174774,230,102.62361876322232,200.0,102.623619,145,16000,16,16000
-5.3337148094177245,200,16400,2.2261290526390076,232,-17.283121731760367,200.0,-17.283122,140,16400,17,16400
-5.823341374397278,200,16800,2.4173472088575365,234,-26.240296498165897,200.0,-26.240296,136,16800,18,16800
-6.353110022544861,200,17200,2.5541809755563736,236,12.08893517893292,200.0,12.088935,133,17200,19,17200
-6.755326209068298,200,17600,2.7075604355335234,238,-25.45164913014708,200.0,-25.451649,129,17600,20,17600
